ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Doha,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Kukushkin M.,23,66,1584,816,6,4,6,2,,,,,,,2,0,Completed,"1,3","3,4","1,29","4,01","1,33","4,07","1,28","3,69"
1,Doha,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Fucsovics M.,Ilkel C.,70,279,790,144,6,1,6,4,,,,,,,2,0,Completed,"1,16",5,"1,26","4,34","1,26","5,35","1,18","4,82"
1,Doha,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Krajinovic F.,49,40,1025,1148,7,5,4,6,6,0,,,,,2,1,Completed,"2,25","1,57","2,4","1,65","2,4","1,67","2,32","1,6"
1,Doha,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Djere L.,65,39,840,1151,6,1,6,3,,,,,,,2,0,Completed,"1,44","2,62","1,45","2,99","1,57","2,99","1,49","2,59"
1,Doha,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Tsonga J.W.,62,30,881,1340,7,6,6,1,,,,,,,2,0,Completed,"2,1","1,66","2,48","1,61","2,5","1,72","2,29","1,61"
1,Doha,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Moutet C.,Raonic M.,81,32,638,1305,7,6,7,6,,,,,,,2,0,Completed,"2,75","1,4","2,9","1,47","2,9","1,51","2,72","1,45"
1,Doha,Qatar Exxon Mobil Open,09/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,Fucsovics M.,62,70,881,790,6,2,6,0,,,,,,,2,0,Completed,"1,61","2,3","1,69","2,34","1,71","2,34","1,63","2,27"
1,Doha,Qatar Exxon Mobil Open,10/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Herbert P.H.,23,65,1584,840,6,4,6,3,,,,,,,2,0,Completed,"1,25",4,"1,32","3,79","1,32","4,03","1,26","3,79"
1,Doha,Qatar Exxon Mobil Open,10/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Moutet C.,Verdasco F.,81,49,638,1025,6,4,4,6,6,4,,,,,2,1,Completed,"2,3","1,61","2,56","1,59","2,56","1,63","2,38","1,58"
1,Doha,Qatar Exxon Mobil Open,10/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Bedene A.,15,58,1955,905,6,3,6,4,,,,,,,2,0,Completed,"1,33","3,4","1,35","3,6","1,4","3,65","1,33","3,27"
1,Doha,Qatar Exxon Mobil Open,10/01/2020,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Kecmanovic M.,23,62,1584,881,6,3,6,1,,,,,,,2,0,Completed,"1,66","2,2","1,63","2,44","1,8","2,44","1,67","2,2"
1,Doha,Qatar Exxon Mobil Open,10/01/2020,ATP250,Outdoor,Hard,Semifinals,3,Moutet C.,Wawrinka S.,81,15,638,1955,3,6,7,5,6,3,,,,,2,1,Completed,"3,5","1,3","4,3","1,26","4,3","1,33","3,79","1,26"
1,Doha,Qatar Exxon Mobil Open,11/01/2020,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Moutet C.,23,81,1584,638,6,2,7,6,,,,,,,2,0,Completed,"1,22","4,33","1,25","4,5","1,27","4,5","1,22","4,18"
2,Auckland,ASB Classic,12/01/2020,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Fritz T.,55,32,934,1335,6,4,7,6,,,,,,,2,0,Completed,"2,25","1,57","2,48","1,6","2,5","1,63","2,36","1,57"
2,Auckland,ASB Classic,12/01/2020,ATP250,Outdoor,Hard,1st Round,3,Cuevas P.,Opelka R.,44,38,1097,1227,5,7,7,6,7,6,,,,,2,1,Completed,"3,5","1,28","3,79","1,31","3,79","1,35","3,34","1,32"
2,Auckland,ASB Classic,12/01/2020,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Popyrin A.,40,95,1165,585,7,6,3,6,6,4,,,,,2,1,Completed,3,"1,36","3,16","1,4","3,35","1,4","3,06","1,37"
2,Auckland,ASB Classic,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Simon G.,56,60,920,890,6,3,7,5,,,,,,,2,0,Completed,"1,66","2,1","1,76","2,17","1,77","2,29","1,7","2,13"
2,Auckland,ASB Classic,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Londero J.I.,33,51,1324,1017,6,2,6,4,,,,,,,2,0,Completed,"1,36",3,"1,31","3,8","1,4","4,12","1,3","3,46"
2,Auckland,ASB Classic,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Harris L.,Garin C.,91,36,594,1285,7,6,3,6,6,4,,,,,2,1,Completed,"1,83","1,83","1,81","2,1","1,92","2,1","1,82","1,97"
